省发展和改革委员会,http://www.jxdpc.gov.cn/
省工业和信息化委员会,http://www.jxciit.gov.cn/
省财政厅,http://www.jxf.gov.cn/
省审计厅,http://www.jxaudit.gov.cn/
省国资委,http://www.jxgzw.gov.cn/
省法制办,http://www.jxfazhi.gov.cn/
省公安厅,http://www.jxga.gov.cn/
省监察厅,http://www.jxdi.gov.cn/
省司法厅,http://www.jxsf.gov.cn/
省民政厅,http://www.jxmzw.gov.cn/
省交通运输厅,http://www.jxjt.gov.cn/
省住房和城乡建设厅,http://www.jxjst.gov.cn/
省环境保护厅,http://www.jxepb.gov.cn/
省农业厅,http://www.jxagri.gov.cn/
省林业厅,http://www.jxly.gov.cn/
省水利厅,http://www.jxsl.gov.cn/
省国土资源厅,http://www.jxgtt.gov.cn/
省科技厅,http://www.jxstc.gov.cn/
省教育厅,http://www.jxedu.gov.cn/
省体育局,http://www.jxsport.gov.cn/
省卫生计生委,http://www.jxwst.gov.cn/
省文化厅,http://www.jxwh.gov.cn/